// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.3.5
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Vel_X	Vel_Y	Vel_Z
17342		-0.307912	0.597629	9.859156	0.997582	0.024116	0.015868	0.063225			
17343		-0.258723	0.788388	9.886024	0.997536	0.023708	0.015242	0.064253			
17344		-0.234318	0.625092	9.805182	0.997499	0.022528	0.014567	0.065390			
17345		-0.289949	0.340824	9.823861	0.997471	0.021027	0.014138	0.066410			
17346		-0.311805	0.313722	9.747298	0.997442	0.019797	0.013607	0.067322			
17347		-0.125163	0.288574	9.820416	0.997390	0.019343	0.013425	0.068261			
17348		-0.275633	0.247735	9.831360	0.997328	0.019356	0.013063	0.069221			
17349		-0.250350	0.406768	9.866636	0.997268	0.019480	0.012261	0.070188			
17350		-0.113710	0.574484	9.890718	0.997227	0.018736	0.011778	0.071058			
17351		-0.189645	0.409189	9.761942	0.997197	0.017439	0.011315	0.071869			
17352		-0.259511	0.225295	9.778371	0.997170	0.016296	0.010576	0.072623			
17353		-0.146592	0.091076	9.773010	0.997142	0.015679	0.009971	0.073228			
17354		-0.189215	0.112219	9.886395	0.997105	0.015371	0.009622	0.073849			
17355		-0.156342	0.339699	9.911218	0.997073	0.015164	0.009037	0.074384			
17356		-0.090083	0.350300	9.753397	0.997037	0.015231	0.008896	0.074871			
17357		-0.120305	0.346321	9.675170	0.996975	0.015512	0.008571	0.075679			
17358		-0.152468	0.554096	9.777927	0.996903	0.015317	0.008217	0.076702			
17359		-0.111681	0.386507	9.700426	0.996850	0.014952	0.007756	0.077499			
17360		-0.109903	0.125263	9.692770	0.996797	0.014213	0.007833	0.078314			
17361		-0.240172	0.178736	9.842404	0.996747	0.013873	0.007731	0.079012			
17362		-0.075915	0.354008	9.916330	0.996702	0.013580	0.007409	0.079663			
17363		-0.085920	0.259665	9.838375	0.996659	0.013219	0.007156	0.080275			
17364		-0.068537	0.241317	9.728524	0.996606	0.012873	0.007130	0.080993			
17365		-0.112660	0.111324	9.636653	0.996546	0.012954	0.007443	0.081682			
17366		-0.150271	0.148714	9.592277	0.996489	0.013194	0.007882	0.082298			
17367		-0.133001	0.469335	9.962157	0.996437	0.013146	0.008087	0.082918			
17368		-0.060394	0.608834	9.800881	0.996395	0.011846	0.008027	0.083626			
17369		-0.157877	0.295664	9.714097	0.996358	0.009489	0.007817	0.084383			
17370		-0.120017	-0.031037	9.777001	0.996323	0.007557	0.007846	0.084983			
17371		-0.177039	-0.146385	9.688642	0.996279	0.006474	0.008128	0.085554			
17372		-0.109011	0.174761	9.807295	0.996211	0.006421	0.008608	0.086308			
17373		-0.143253	0.366131	9.773499	0.996146	0.006334	0.009101	0.087011			
17374		-0.159475	0.257297	9.671896	0.996071	0.005592	0.009738	0.087843			
17375		-0.201240	0.163692	9.701331	0.995988	0.004888	0.010790	0.088696			
17376		-0.286002	0.192697	9.688811	0.995905	0.003941	0.011387	0.089594			
